year,month,title,start,end
2029,September,Chandra Mangal Yoga,"2029-09-11 00:07","2029-09-13 01:11"
2029,September,Chandra Mangal Yoga,"2029-09-14 21:41","2029-09-15 04:32"
2029,October,Chandra Mangal Yoga,"2029-10-10 09:42","2029-10-12 11:23"
2029,November,Chandra Mangal Yoga,"2029-11-08 20:44","2029-11-10 23:55"
2029,December,Chandra Mangal Yoga,"2029-12-08 09:46","2029-12-10 15:04"

2030,January,Chandra Mangal Yoga,"2030-01-04 20:29","2030-01-07 00:52"
2030,February,Chandra Mangal Yoga,"2030-02-03 10:38","2030-02-05 17:52"
2030,March,Chandra Mangal Yoga,"2030-03-05 02:23","2030-03-07 12:31"
2030,April,Chandra Mangal Yoga,"2030-04-03 19:50","2030-04-06 08:10"
2030,May,Chandra Mangal Yoga,"2030-05-01 02:06","2030-05-03 14:37"
2030,May,Chandra Mangal Yoga,"2030-05-30 20:38","2030-06-02 09:37"
2030,June,Chandra Mangal Yoga,"2030-06-29 15:47","2030-07-02 03:23"
2030,July,Chandra Mangal Yoga,"2030-07-26 22:43","2030-07-29 10:04"
2030,August,Chandra Mangal Yoga,"2030-08-25 17:56","2030-08-28 02:24"
2030,September,Chandra Mangal Yoga,"2030-09-22 02:32","2030-09-23 04:16"
2030,September,Chandra Mangal Yoga,"2030-09-24 11:22","2030-09-26 16:38"
2030,October,Chandra Mangal Yoga,"2030-10-21 20:46","2030-10-24 02:43"
2030,November,Chandra Mangal Yoga,"2030-11-20 12:37","2030-11-22 16:11"
2030,December,Chandra Mangal Yoga,"2030-12-17 20:40","2030-12-20 02:03"

2031,January,Chandra Mangal Yoga,"2031-01-16 09:24","2031-01-18 23:18"
2031,February,Chandra Mangal Yoga,"2031-02-12 14:55","2031-02-14 19:46"
2031,March,Chandra Mangal Yoga,"2031-03-11 20:51","2031-03-14 01:08"
2031,April,Chandra Mangal Yoga,"2031-04-08 04:44","2031-04-10 07:45"
2031,May,Chandra Mangal Yoga,"2031-05-05 12:25","2031-05-07 16:39"
2031,June,Chandra Mangal Yoga,"2031-06-02 00:30","2031-06-04 03:03"
2031,June,Chandra Mangal Yoga,"2031-06-29 09:27","2031-07-01 23:19"
2031,July,Chandra Mangal Yoga,"2031-07-26 16:27","2031-07-28 21:56"
2031,August,Chandra Mangal Yoga,"2031-08-25 04:25","2031-08-27 08:11"
2031,September,Chandra Mangal Yoga,"2031-09-21 09:47","2031-09-23 12:08"
2031,October,Chandra Mangal Yoga,"2031-10-20 19:34","2031-10-22 22:26"
2031,November,Chandra Mangal Yoga,"2031-11-19 04:18","2031-11-21 06:34"
2031,December,Chandra Mangal Yoga,"2031-12-16 12:36","2031-12-18 23:12"

2032,January,Chandra Mangal Yoga,"2032-01-14 22:34","2032-01-16 23:28"
2032,February,Chandra Mangal Yoga,"2032-02-13 09:33","2032-02-15 12:01"
2032,March,Chandra Mangal Yoga,"2032-03-13 22:14","2032-03-16 03:10"
2032,April,Chandra Mangal Yoga,"2032-04-10 08:35","2032-04-12 12:58"
2032,May,Chandra Mangal Yoga,"2032-05-09 22:14","2032-05-12 05:39"
2032,June,Chandra Mangal Yoga,"2032-06-08 13:45","2032-06-10 23:54"
2032,July,Chandra Mangal Yoga,"2032-07-05 20:27","2032-07-08 06:58"
2032,August,Chandra Mangal Yoga,"2032-08-04 13:06","2032-08-07 01:21"
2032,August,Chandra Mangal Yoga,"2032-08-31 18:53","2032-09-03 06:41"
2032,September,Chandra Mangal Yoga,"2032-09-03 07:18","2032-09-05 20:02"
2032,September,Chandra Mangal Yoga,"2032-09-30 13:36","2032-10-03 02:17"
2032,October,Chandra Mangal Yoga,"2032-10-30 09:28","2032-11-01 20:56"
2032,November,Chandra Mangal Yoga,"2032-11-26 17:31","2032-11-29 05:15"
2032,December,Chandra Mangal Yoga,"2032-12-26 14:07","2032-12-28 23:38"

2033,January,Chandra Mangal Yoga,"2033-01-22 22:22","2033-01-25 09:02"
2033,January,Chandra Mangal Yoga,"2033-01-27 12:50","2033-01-27 15:41"
2033,February,Chandra Mangal Yoga,"2033-02-21 16:57","2033-02-24 01:09"
2033,March,Chandra Mangal Yoga,"2033-03-20 23:16","2033-03-23 08:32"
2033,March,Chandra Mangal Yoga,"2033-03-24 13:40","2033-03-25 14:16"
2033,April,Chandra Mangal Yoga,"2033-04-19 14:18","2033-04-21 20:59"
2033,May,Chandra Mangal Yoga,"2033-05-16 20:02","2033-05-19 02:26"
2033,June,Chandra Mangal Yoga,"2033-06-13 02:59","2033-06-15 08:28"
2033,July,Chandra Mangal Yoga,"2033-07-10 11:29","2033-07-12 16:16"
2033,August,Chandra Mangal Yoga,"2033-08-06 20:48","2033-08-09 01:45"
2033,September,Chandra Mangal Yoga,"2033-09-03 05:42","2033-09-05 11:47"
2033,September,Chandra Mangal Yoga,"2033-09-30 13:09","2033-10-02 20:48"
2033,October,Chandra Mangal Yoga,"2033-10-30 03:46","2033-11-01 09:21"
2033,November,Chandra Mangal Yoga,"2033-11-28 15:40","2033-11-30 19:49"
2033,December,Chandra Mangal Yoga,"2033-12-25 21:02","2033-12-28 01:30"

2034,January,Chandra Mangal Yoga,"2034-01-24 07:10","2034-01-26 10:10"
2034,February,Chandra Mangal Yoga,"2034-02-22 16:32","2034-02-24 18:43"
2034,March,Chandra Mangal Yoga,"2034-03-22 01:29","2034-03-24 01:58"
2034,April,Chandra Mangal Yoga,"2034-04-20 11:40","2034-04-22 12:13"
2034,May,Chandra Mangal Yoga,"2034-05-19 22:13","2034-05-22 00:09"
2034,June,Chandra Mangal Yoga,"2034-06-16 08:44","2034-06-18 10:02"
2034,July,Chandra Mangal Yoga,"2034-07-15 19:54","2034-07-17 23:57"
2034,August,Chandra Mangal Yoga,"2034-08-12 04:21","2034-08-14 08:59"
2034,August,Chandra Mangal Yoga,"2034-08-16 01:33","2034-08-16 16:21"
2034,September,Chandra Mangal Yoga,"2034-09-10 16:34","2034-09-13 00:28"
2034,October,Chandra Mangal Yoga,"2034-10-10 07:14","2034-10-12 17:59"
2034,November,Chandra Mangal Yoga,"2034-11-06 12:58","2034-11-09 00:12"
2034,December,Chandra Mangal Yoga,"2034-12-06 06:04","2034-12-08 18:41"

2035,January,Chandra Mangal Yoga,"2035-01-02 12:40","2035-01-02 21:35"
2035,January,Chandra Mangal Yoga,"2035-01-05 01:08","2035-01-07 13:44"
2035,February,Chandra Mangal Yoga,"2035-02-01 08:31","2035-02-03 21:08"
2035,March,Chandra Mangal Yoga,"2035-03-03 05:14","2035-03-05 16:56"
2035,March,Chandra Mangal Yoga,"2035-03-30 13:23","2035-04-02 01:35"
2035,April,Chandra Mangal Yoga,"2035-04-04 02:43","2035-04-04 11:26"
2035,April,Chandra Mangal Yoga,"2035-04-29 09:26","2035-05-01 20:19"
2035,May,Chandra Mangal Yoga,"2035-05-29 03:47","2035-05-31 12:30"
2035,June,Chandra Mangal Yoga,"2035-06-25 09:53","2035-06-27 19:31"
2035,July,Chandra Mangal Yoga,"2035-07-25 01:11","2035-07-27 08:14"
2035,August,Chandra Mangal Yoga,"2035-08-21 06:55","2035-08-23 13:40"
2035,September,Chandra Mangal Yoga,"2035-09-15 05:37","2035-09-17 14:01"
2035,October,Chandra Mangal Yoga,"2035-10-12 14:22","2035-10-14 22:52"
2035,November,Chandra Mangal Yoga,"2035-11-08 23:07","2035-11-11 08:35"
2035,December,Chandra Mangal Yoga,"2035-12-08 17:34","2035-12-11 00:21"
