year,month,title,start,end
2024,January,Chandra Mangal Yoga,"2024-01-09 15:39","2024-01-11 17:33"
2024,February,Chandra Mangal Yoga,"2024-02-08 04:33","2024-02-10 04:31"
2024,March,Chandra Mangal Yoga,"2024-03-06 14:57","2024-03-08 15:49"
2024,April,Chandra Mangal Yoga,"2024-04-05 01:41","2024-04-07 02:08"
2024,May,Chandra Mangal Yoga,"2024-05-04 11:07","2024-05-06 12:12"
2024,May,Chandra Mangal Yoga,"2024-05-31 17:39","2024-06-01 09:46"
2024,June,Chandra Mangal Yoga,"2024-06-02 20:09","2024-06-04 22:42"
2024,June,Chandra Mangal Yoga,"2024-06-30 02:02","2024-07-02 05:42"
2024,July,Chandra Mangal Yoga,"2024-07-29 11:13","2024-07-31 16:43"
2024,August,Chandra Mangal Yoga,"2024-08-25 16:57","2024-08-26 09:11"
2024,August,Chandra Mangal Yoga,"2024-08-27 22:09","2024-08-30 06:01"
2024,September,Chandra Mangal Yoga,"2024-09-24 04:23","2024-09-26 11:40"
2024,October,Chandra Mangal Yoga,"2024-10-23 18:29","2024-10-26 04:13"
2024,November,Chandra Mangal Yoga,"2024-11-20 03:14","2024-11-22 11:37"
2024,December,Chandra Mangal Yoga,"2024-12-17 13:15","2024-12-19 20:27"

2025,January,Chandra Mangal Yoga,"2025-01-13 22:47","2025-01-16 05:44"
2025,February,Chandra Mangal Yoga,"2025-02-08 00:49","2025-02-10 06:25"
2025,March,Chandra Mangal Yoga,"2025-03-07 06:13","2025-03-09 12:14"
2025,April,Chandra Mangal Yoga,"2025-04-05 17:54","2025-04-08 02:23"
2025,May,Chandra Mangal Yoga,"2025-05-03 01:05","2025-05-05 08:30"
2025,May,Chandra Mangal Yoga,"2025-05-30 10:11","2025-06-01 16:05"
2025,June,Chandra Mangal Yoga,"2025-06-29 01:02","2025-07-01 09:52"
2025,July,Chandra Mangal Yoga,"2025-07-26 10:20","2025-07-28 13:46"
2025,July,Chandra Mangal Yoga,"2025-07-28 18:28","2025-07-31 05:43"
2025,August,Chandra Mangal Yoga,"2025-08-25 02:56","2025-08-27 13:49"
2025,September,Chandra Mangal Yoga,"2025-09-23 21:23","2025-09-26 09:51"
2025,October,Chandra Mangal Yoga,"2025-10-21 04:03","2025-10-23 16:33"
2025,November,Chandra Mangal Yoga,"2025-11-19 22:41","2025-11-22 11:14"
2025,December,Chandra Mangal Yoga,"2025-12-19 17:19","2025-12-22 04:34"

2026,January,Chandra Mangal Yoga,"2026-01-18 11:09","2026-01-20 20:03"
2026,February,Chandra Mangal Yoga,"2026-02-14 19:10","2026-02-17 03:34"
2026,March,Chandra Mangal Yoga,"2026-03-16 12:43","2026-03-18 18:04"
2026,April,Chandra Mangal Yoga,"2026-04-15 04:06","2026-04-17 06:31"
2026,May,Chandra Mangal Yoga,"2026-05-14 17:02","2026-05-16 17:15"
2026,June,Chandra Mangal Yoga,"2026-06-11 02:45","2026-06-13 03:54"
2026,July,Chandra Mangal Yoga,"2026-07-10 13:13","2026-07-12 13:34"
2026,August,Chandra Mangal Yoga,"2026-08-08 22:17","2026-08-10 23:11"
2026,September,Chandra Mangal Yoga,"2026-09-05 04:46","2026-09-07 07:06"
2026,October,Chandra Mangal Yoga,"2026-10-04 12:59","2026-10-06 16:45"
2026,October,Chandra Mangal Yoga,"2026-10-31 18:28","2026-11-02 22:14"
2026,November,Chandra Mangal Yoga,"2026-11-30 04:10","2026-12-02 09:26"
2026,December,Chandra Mangal Yoga,"2026-12-27 12:32","2026-12-29 16:05"

2027,January,Chandra Mangal Yoga,"2027-01-23 23:21","2027-01-26 01:13"
2027,February,Chandra Mangal Yoga,"2027-02-20 10:36","2027-02-22 11:58"
2027,March,Chandra Mangal Yoga,"2027-03-17 18:01","2027-03-19 20:00"
2027,April,Chandra Mangal Yoga,"2027-04-13 23:41","2027-04-16 02:47"
2027,May,Chandra Mangal Yoga,"2027-05-13 08:09","2027-05-15 12:21"
2027,June,Chandra Mangal Yoga,"2027-06-09 14:16","2027-06-11 17:46"
2027,July,Chandra Mangal Yoga,"2027-07-09 00:27","2027-07-11 05:21"
2027,August,Chandra Mangal Yoga,"2027-08-05 09:17","2027-08-07 12:35"
2027,September,Chandra Mangal Yoga,"2027-09-03 21:44","2027-09-06 03:14"
2027,October,Chandra Mangal Yoga,"2027-10-01 07:54","2027-10-03 12:24"
2027,October,Chandra Mangal Yoga,"2027-10-30 21:58","2027-11-02 05:33"
2027,November,Chandra Mangal Yoga,"2027-11-29 14:14","2027-12-02 00:51"
2027,December,Chandra Mangal Yoga,"2027-12-26 21:42","2027-12-29 08:31"
2027,December,Chandra Mangal Yoga,"2027-12-27 06:54","2027-12-31 21:07"

2028,January,Chandra Mangal Yoga,"2028-01-25 15:08","2028-01-28 03:49"
2028,February,Chandra Mangal Yoga,"2028-02-24 10:00","2028-02-26 22:47"
2028,March,Chandra Mangal Yoga,"2028-03-25 05:00","2028-03-27 16:14"
2028,April,Chandra Mangal Yoga,"2028-04-23 22:55","2028-04-26 07:36"
2028,May,Chandra Mangal Yoga,"2028-05-21 06:46","2028-05-23 15:05"
2028,June,Chandra Mangal Yoga,"2028-06-19 23:55","2028-06-22 05:20"
2028,July,Chandra Mangal Yoga,"2028-07-19 15:05","2028-07-21 17:48"
2028,August,Chandra Mangal Yoga,"2028-08-16 00:44","2028-08-18 04:14"
2028,September,Chandra Mangal Yoga,"2028-09-14 14:01","2028-09-16 15:38"
2028,October,Chandra Mangal Yoga,"2028-10-11 21:46","2028-10-14 01:07"
2028,October,Chandra Mangal Yoga,"2028-10-14 03:48","2028-10-16 01:46"
2028,November,Chandra Mangal Yoga,"2028-11-10 08:09","2028-11-12 10:31"
2028,December,Chandra Mangal Yoga,"2028-12-07 13:34","2028-12-08 15:38"
2028,December,Chandra Mangal Yoga,"2028-12-09 16:46","2028-12-11 19:12"

2029,January,Chandra Mangal Yoga,"2029-01-05 22:10","2029-01-08 00:49"
2029,February,Chandra Mangal Yoga,"2029-02-02 05:17","2029-02-04 06:37"
2029,March,Chandra Mangal Yoga,"2029-03-01 15:06","2029-03-03 14:44"
2029,March,Chandra Mangal Yoga,"2029-03-29 02:17","2029-03-31 01:13"
2029,April,Chandra Mangal Yoga,"2029-04-25 12:41","2029-04-27 12:17"
2029,May,Chandra Mangal Yoga,"2029-05-22 20:50","2029-05-24 21:58"
2029,June,Chandra Mangal Yoga,"2029-06-19 02:50","2029-06-21 05:17"
2029,July,Chandra Mangal Yoga,"2029-07-16 08:15","2029-07-18 10:52"
2029,August,Chandra Mangal Yoga,"2029-08-14 16:33","2029-08-16 19:01"
