year,month,title,start,end
2030,April,Bhaumvati Amavasya,"Apr 02, 2:11 am","Apr 03, 3:32 am"
2030,May,,"May 01, 5:23 pm","May 02, 7:42 pm"
2030,May,Shani Amavasya,"May 31, 9:15 am","Jun 01, 11:51 am"
2030,June,,"Jun 30, 12:59 am","Jul 01, 3:04 am"
2030,July,"Bhaumvati Amavasya, Hariyali Amavasya","Jul 29, 3:45 pm","Jul 30, 4:41 pm"
2030,August,,"Aug 28, 5:07 am","Aug 29, 4:37 am"
2030,September,Mahalaya Amavasya,"Sep 26, 5:15 pm","Sep 27, 3:24 pm"
2030,October,Shani Amavasya,"Oct 26, 4:41 am","Oct 27, 1:47 am"
2030,November,Somvati Amavasya,"Nov 24, 3:49 pm","Nov 25, 12:16 pm"
2030,December,Bhaumvati Amavasya,"Dec 24, 2:47 am","Dec 24, 11:02 pm"

2031,January,Mauni Amavasya,"Jan 22, 1:27 pm","Jan 23, 10:01 am"
2031,February,,"Feb 20, 11:55 pm","Feb 21, 9:18 pm"
2031,March,,"Mar 22, 10:37 am","Mar 23, 9:19 am"
2031,April,Somvati Amavasya,"Apr 20, 10:15 pm","Apr 21, 10:27 pm"
2031,May,,"May 20, 11:14 am","May 21, 12:47 pm"
2031,June,,"Jun 19, 1:34 am","Jun 20, 3:54 am"
2031,July,"Hariyali Amavasya, Shani Amavasya","Jul 18, 4:43 pm","Jul 19, 7:10 pm"
2031,August,Somvati Amavasya,"Aug 17, 8:08 am","Aug 18, 10:02 am"
2031,September,Bhaumvati Amavasya,"Sep 15, 11:23 pm","Sep 17, 12:16 am"
2031,October,Mahalaya Amavasya,"Oct 15, 2:13 pm","Oct 16, 1:50 pm"
2031,November,,"Nov 14, 4:24 am","Nov 15, 2:39 am"
2031,December,,"Dec 13, 5:33 pm","Dec 14, 2:35 pm"

2032,January,Somvati Amavasya,"Jan 12, 5:21 am","Jan 13, 1:36 am"
2032,February,Mauni Amavasya,"Feb 10, 3:48 pm","Feb 11, 11:54 am"
2032,March,,"Mar 11, 1:19 am","Mar 11, 9:54 pm"
2032,April,Shani Amavasya,"Apr 09, 10:33 am","Apr 10, 8:09 am"
2032,May,,"May 08, 8:11 pm","May 09, 7:05 pm"
2032,June,Bhaumvati Amavasya,"Jun 07, 6:48 am","Jun 08, 7:02 am"
2032,July,,"Jul 06, 6:48 pm","Jul 07, 8:11 pm"
2032,August,Hariyali Amavasya,"Aug 05, 8:30 am","Aug 06, 10:41 am"
2032,September,Shani Amavasya,"Sep 03, 11:58 pm","Sep 05, 2:26 am"
2032,October,"Mahalaya Amavasya, Somvati Amavasya","Oct 03, 4:50 pm","Oct 04, 6:56 pm"
2032,November,,"Nov 02, 10:14 am","Nov 03, 11:14 am"
2032,December,,"Dec 02, 2:53 am","Dec 03, 2:22 am"
