year,month,title,start,end
2029,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 23, 6:48 am","Aug 24, 7:21 am"
2029,September,Bhadrapada Purnima,"Sep 21, 8:18 pm","Sep 22, 9:59 pm"
2029,October,Sharad Purnima,"Oct 21, 12:32 pm","Oct 22, 2:57 pm"
2029,November,Kartik Purnima,"Nov 20, 7:02 am","Nov 21, 9:32 am"
2029,December,Margashirsha Purnima,"Dec 20, 2:30 am","Dec 21, 4:16 am"

2030,January,Paush Purnima,"Jan 18, 9:02 pm","Jan 19, 9:24 pm"
2030,February,Magha Purnima,"Feb 17, 1:05 pm","Feb 18, 11:49 am"
2030,March,Hutasani Purnima,"Mar 19, 2:03 am","Mar 19, 11:26 pm"
2030,April,,"Apr 17, 12:18 pm","Apr 18, 8:50 am"
2030,May,"Buddha Purnima, Vaishakha Purnima","May 16, 8:36 pm","May 17, 4:49 pm"
2030,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 15, 3:50 am","Jun 16, 12:11 am"
2030,July,Guru Purnima,"Jul 14, 10:47 am","Jul 15, 7:42 am"
2030,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 12, 6:24 pm","Aug 13, 4:14 pm"
2030,September,Bhadrapada Purnima,"Sep 11, 3:40 am","Sep 12, 2:47 am"
2030,October,Sharad Purnima,"Oct 10, 3:40 pm","Oct 11, 4:16 pm"
2030,November,Kartik Purnima,"Nov 09, 7:03 am","Nov 10, 9:00 am"
2030,December,Margashirsha Purnima,"Dec 09, 1:30 am","Dec 10, 4:10 am"

2031,January,Paush Purnima,"Jan 07, 9:27 pm","Jan 08, 11:55 pm"
2031,February,Magha Purnima,"Feb 06, 4:48 pm","Feb 07, 6:16 pm"
2031,March,Hutasani Purnima,"Mar 08, 9:55 am","Mar 09, 9:59 am"
2031,April,,"Apr 07, 12:10 am","Apr 07, 10:51 pm"
2031,May,"Buddha Purnima, Vaishakha Purnima","May 06, 11:40 am","May 07, 9:09 am"
2031,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 04, 8:51 pm","Jun 05, 5:28 pm"
2031,July,Guru Purnima,"Jul 04, 4:22 am","Jul 05, 12:31 am"
2031,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 02, 11:04 am","Aug 03, 7:15 am"
2031,August,,"Aug 31, 6:03 pm","Sep 01, 2:50 pm"
2031,September,Bhadrapada Purnima,"Sep 30, 2:32 am","Oct 01, 12:27 am"
2031,October,Sharad Purnima,"Oct 29, 1:38 pm","Oct 30, 1:02 pm"
2031,November,Kartik Purnima,"Nov 28, 3:53 am","Nov 29, 4:48 am"
2031,December,Margashirsha Purnima,"Dec 27, 9:00 pm","Dec 28, 11:03 pm"

2032,January,Paush Purnima,"Jan 26, 3:52 pm","Jan 27, 6:22 pm"
2032,February,Magha Purnima,"Feb 25, 10:56 am","Feb 26, 1:13 pm"
2032,March,Hutasani Purnima,"Mar 26, 4:50 am","Mar 27, 6:16 am"
2032,April,,"Apr 24, 8:31 pm","Apr 25, 8:39 pm"
2032,May,"Buddha Purnima, Vaishakha Purnima","May 24, 9:26 am","May 25, 8:07 am"
