year,month,paksha,title,start,end
2027,March,Krishna Paksha,,"2027-03-05 09:54","2027-03-06 12:04"
2027,March,Shukla Paksha,,"2027-03-19 23:17","2027-03-20 20:45"

2027,April,Krishna Paksha,Madhu Krishna Trayodashi,"2027-04-04 04:27","2027-04-05 05:23"
2027,April,Shukla Paksha,,"2027-04-18 07:42","2027-04-19 06:08"

2027,May,Krishna Paksha,,"2027-05-03 20:04","2027-05-04 19:31"
2027,May,Shukla Paksha,,"2027-05-17 16:28","2027-05-18 16:04"

2027,June,Krishna Paksha,,"2027-06-02 08:29","2027-06-03 06:35"
2027,June,Shukla Paksha,,"2027-06-16 02:31","2027-06-17 03:20"

2027,July,Krishna Paksha,,"2027-07-01 18:15","2027-07-02 15:23"
2027,July,Shukla Paksha,,"2027-07-15 14:41","2027-07-16 16:35"
2027,July,Krishna Paksha,,"2027-07-31 02:18","2027-07-31 22:58"

2027,August,Shukla Paksha,,"2027-08-14 05:21","2027-08-15 07:54"
2027,August,Krishna Paksha,,"2027-08-29 09:36","2027-08-30 06:13"

2027,September,Shukla Paksha,,"2027-09-12 22:13","2027-09-14 00:40"
2027,September,Krishna Paksha,,"2027-09-27 16:55","2027-09-28 13:55"

2027,October,Shukla Paksha,,"2027-10-12 16:14","2027-10-13 17:48"
2027,October,Krishna Paksha,Dhanatrayodashi,"2027-10-27 01:04","2027-10-27 22:50"

2027,November,Shukla Paksha,,"2027-11-11 10:07","2027-11-12 10:21"
2027,November,Krishna Paksha,,"2027-11-25 10:51","2027-11-26 09:48"

2027,December,Shukla Paksha,,"2027-12-11 02:53","2027-12-12 01:43"
2027,December,Krishna Paksha,,"2027-12-24 23:08","2027-12-25 23:32"

2028,January,Shukla Paksha,,"2028-01-09 17:56","2028-01-10 15:36"
2028,January,Krishna Paksha,,"2028-01-23 14:23","2028-01-24 16:09"

2028,February,Shukla Paksha,,"2028-02-08 06:52","2028-02-09 03:46"
2028,February,Krishna Paksha,,"2028-02-22 08:08","2028-02-23 10:44"

2028,March,Shukla Paksha,,"2028-03-08 17:27","2028-03-09 14:02"
2028,March,Krishna Paksha,Madhu Krishna Trayodashi,"2028-03-23 02:56","2028-03-24 05:33"

2028,April,Shukla Paksha,,"2028-04-07 01:52","2028-04-07 22:33"
2028,April,Krishna Paksha,,"2028-04-21 21:04","2028-04-22 22:56"

2028,May,Shukla Paksha,,"2028-05-06 08:48","2028-05-07 06:06"
2028,May,Krishna Paksha,,"2028-05-21 13:19","2028-05-22 14:02"

2028,June,Shukla Paksha,,"2028-06-04 15:29","2028-06-05 13:49"
2028,June,Krishna Paksha,,"2028-06-20 03:22","2028-06-21 02:48"

2028,July,Shukla Paksha,,"2028-07-03 23:17","2028-07-04 22:57"
2028,July,Krishna Paksha,,"2028-07-19 15:22","2028-07-20 13:37"

2028,August,Shukla Paksha,,"2028-08-02 09:24","2028-08-03 10:25"
2028,August,Krishna Paksha,,"2028-08-18 01:43","2028-08-18 23:00"
2028,August,Shukla Paksha,,"2028-08-31 22:31","2028-09-02 00:35"

2028,September,Krishna Paksha,,"2028-09-16 10:51","2028-09-17 07:30"
2028,September,Shukla Paksha,,"2028-09-30 14:34","2028-10-01 17:05"

2028,October,Krishna Paksha,Dhanatrayodashi,"2028-10-15 19:17","2028-10-16 15:45"
2028,October,Shukla Paksha,,"2028-10-30 08:51","2028-10-31 11:08"

2028,November,Krishna Paksha,,"2028-11-14 03:41","2028-11-15 00:35"
2028,November,Shukla Paksha,,"2028-11-29 04:14","2028-11-30 05:42"

2028,December,Krishna Paksha,,"2028-12-13 12:56","2028-12-14 10:50"
2028,December,Shukla Paksha,,"2028-12-28 23:21","2028-12-29 23:37"

2029,January,Krishna Paksha,,"2029-01-11 23:50","2029-01-12 23:06"
2029,January,Shukla Paksha,,"2029-01-27 16:50","2029-01-28 15:41"

2029,February,Krishna Paksha,,"2029-02-10 12:49","2029-02-11 13:30"
2029,February,Shukla Paksha,,"2029-02-26 07:29","2029-02-27 05:05"

2029,March,Krishna Paksha,Madhu Krishna Trayodashi,"2029-03-12 03:42","2029-03-13 05:30"
2029,March,Shukla Paksha,,"2029-03-27 18:53","2029-03-28 15:35"

2029,April,Krishna Paksha,,"2029-04-10 19:51","2029-04-11 22:15"
2029,April,Shukla Paksha,,"2029-04-26 03:22","2029-04-26 23:44"

2029,May,Krishna Paksha,,"2029-05-10 12:30","2029-05-11 14:54"
2029,May,Shukla Paksha,,"2029-05-25 09:56","2029-05-26 06:34"

2029,June,Krishna Paksha,,"2029-06-09 04:55","2029-06-10 06:48"
2029,June,Shukla Paksha,,"2029-06-23 15:53","2029-06-24 13:17"
